Station,Location,Year,CL_Jan,PC_Jan,CD_Jan,CL_Feb,PC_Feb,CD_Feb,CL_Mar,PC_Mar,CD_Mar,CL_Apr,PC_Apr,CD_Apr,CL_May,PC_May,CD_May,CL_Jun,PC_Jun,CD_Jun,CL_Jul,PC_Jul,CD_Jul,CL_Aug,PC_Aug,CD_Aug,CL_Sep,PC_Sep,CD_Sep,CL_Oct,PC_Oct,CD_Oct,CL_Nov,PC_Nov,CD_Nov,CL_Dec,PC_Dec,CD_Dec,CL_Annual,PC_Annual,CD_Annual
13876,"BIRMINGHAM ,AL",37,7,6,18,7,6,15,7,8,16,9,8,13,8,11,12,7,13,10,5,14,12,7,15,10,9,9,11,14,8,9,10,7,13,8,7,16,99,111,155
3856,"HUNTSVILLE, AL",27,7,6,18,7,6,16,7,8,17,9,7,14,8,10,14,8,11,11,7,13,11,9,13,10,9,9,12,12,7,12,9,7,14,8,6,18,100,101,164
13894,"MOBILE, AL",47,8,6,17,8,7,14,9,8,14,9,9,12,9,11,11,7,14,9,4,15,12,6,15,10,9,10,11,14,8,9,11,7,12,9,6,16,102,116,147
13895,"MONTGOMERY, AL",51,7,6,17,8,6,14,8,8,15,10,8,12,9,10,12,8,12,10,6,14,11,8,14,9,10,9,11,14,7,10,11,6,13,9,6,16,107,107,151
26451,"ANCHORAGE, AK",44,7,5,19,6,4,18,8,5,18,6,6,18,4,7,20,3,7,20,3,6,22,3,6,22,4,5,21,5,5,21,6,5,20,6,4,21,61,65,239
25308,"ANNETTE, AK",41,4,4,23,3,4,21,4,5,23,3,6,21,4,7,21,2,6,21,4,6,21,4,6,21,4,6,21,2,4,25,3,3,24,3,4,24,40,60,265
27502,"BARROW, AK",54,6,2,3,12,6,11,14,7,10,11,7,12,3,5,23,3,6,21,3,7,21,1,4,26,1,3,26,2,4,25,6,3,11,4,0,0,66,52,187
26615,"BETHEL, AK",34,8,5,18,10,4,14,9,5,16,6,6,17,4,8,20,2,7,21,2,5,24,2,4,26,2,5,23,4,5,22,6,5,19,8,5,18,62,65,239
26533,"BETTLES,AK",5,15,5,11,10,4,14,9,5,16,7,10,13,7,11,13,4,13,13,2,10,19,2,8,21,7,7,16,5,6,21,9,6,14,9,7,15,86,93,187
26415,"BIG DELTA,AK",3,14,8,9,5,7,17,8,8,15,2,9,20,2,11,18,4,9,17,*,8,22,2,8,21,5,7,18,4,5,23,7,6,17,7,7,17,60,93,212
25624,"COLD BAY,AK",42,2,5,23,2,5,22,2,6,23,1,4,26,*,3,27,*,3,27,*,2,28,*,2,29,*,4,26,1,5,25,1,6,23,2,5,24,10,50,304
26411,"FAIRBANKS, AK",45,9,6,16,8,6,14,10,7,14,7,8,16,5,11,15,3,10,17,3,9,19,3,7,21,4,6,20,4,5,22,7,5,18,7,6,18,70,86,210
26425,"GULKANA,AK",5,15,4,12,6,4,18,9,6,15,5,10,15,3,10,18,2,10,18,4,9,18,3,9,19,6,8,17,3,7,21,5,5,21,7,7,17,67,89,209
